      80001    -7.17650    97.34780          0.00000    -30.3499      0.0050	   -31.331	   -30.351	   -31.454
      80001    -7.12780    97.36560         -0.00000    -30.2559      0.0050	   -31.222	   -30.254	   -31.358
      80001    -7.07870    97.38340         -0.00000    -30.1618      0.0050	   -31.127	   -30.161	   -31.264
      80001    -7.02910    97.40150          0.00000    -30.0722      0.0050	   -31.033	   -30.077	   -31.172
      80001    -6.98010    97.41930          0.00000    -29.9773      0.0050	   -30.933	   -29.977	   -31.081
      80001    -6.93160    97.43690          0.00000    -29.8718      0.0050	   -30.827	   -29.872	   -30.976
      80001    -6.88330    97.45450          0.00000    -29.7492      0.0050	   -30.718	   -29.757	   -30.854
      80001    -6.83490    97.47210          0.00000    -29.6260      0.0050	   -30.593	   -29.631	   -30.731
      80001    -6.78620    97.48960          0.00000    -29.4841      0.0050	   -30.446	   -29.484	   -30.587
      80001    -6.73750    97.50740         -0.00000    -29.3399      0.0050	   -30.296	   -29.333	   -30.437
      80001    -6.68920    97.52480         -0.00000    -29.2013      0.0050	   -30.159	   -29.189	   -30.298
      80001    -6.64200    97.54200         -0.00000    -29.0723      0.0050	   -30.032	   -29.064	   -30.168
      80001    -6.59470    97.55910         -0.00000    -28.9572      0.0050	   -29.912	   -28.952	   -30.053
      80001    -6.54650    97.57660         -0.00000    -28.8330      0.0050	   -29.800	   -28.827	   -29.927
      80001    -6.49860    97.59400          0.00000    -28.7148      0.0050	   -29.686	   -28.715	   -29.813
      80001    -6.44980    97.61180         -0.00000    -28.5955      0.0050	   -29.558	   -28.594	   -29.694
      80001    -6.40060    97.62960         -0.00000    -28.4617      0.0050	   -29.421	   -28.456	   -29.564
      80001    -6.35190    97.64720          0.00000    -28.3297      0.0050	   -29.287	   -28.330	   -29.432
      80001    -6.30340    97.66490          0.00000    -28.1917      0.0050	   -29.147	   -28.196	   -29.295
      80001    -6.25460    97.68250         -0.00000    -28.0426      0.0050	   -28.998	   -28.042	   -29.142
      80001    -6.20550    97.70030         -0.00000    -27.8901      0.0050	   -28.837	   -27.889	   -28.986
      80001    -6.15680    97.71790          0.00000    -27.7240      0.0050	   -28.666	   -27.724	   -28.821
      80001    -6.10760    97.73570         -0.00000    -27.5467      0.0050	   -28.482	   -27.544	   -28.640
      80001    -6.05830    97.75350         -0.00000    -27.3472      0.0050	   -28.290	   -27.343	   -28.441
      80001    -6.00910    97.77130         -0.00000    -27.1573      0.0050	   -28.094	   -27.153	   -28.245
      80001    -5.95970    97.78920         -0.00000    -26.9419      0.0050	   -27.885	   -26.934	   -28.033
      80001    -5.91040    97.80700         -0.00000    -26.7152      0.0050	   -27.667	   -26.711	   -27.806
      80001    -5.86110    97.82480         -0.00000    -26.4901      0.0050	   -27.437	   -26.488	   -27.578
      80001    -5.81190    97.84270         -0.00000    -26.2507      0.0050	   -27.204	   -26.247	   -27.342
      80001    -5.76270    97.86050         -0.00000    -26.0072      0.0050	   -26.972	   -26.003	   -27.094
      80001    -5.71310    97.87830         -0.00000    -25.7544      0.0050	   -26.729	   -25.750	   -26.842
      80001    -5.66340    97.89640          0.00000    -25.4947      0.0050	   -26.467	   -25.501	   -26.584
      80001    -5.61410    97.91410          0.00000    -25.2255      0.0050	   -26.198	   -25.230	   -26.314
      80001    -5.56480    97.93190         -0.00000    -24.9345      0.0050	   -25.920	   -24.929	   -26.021
      80001    -5.51550    97.94970         -0.00000    -24.6478      0.0050	   -25.629	   -24.644	   -25.730
      80001    -5.46650    97.96730          0.00000    -24.3523      0.0050	   -25.328	   -24.355	   -25.439
      80001    -5.41760    97.98510         -0.00000    -24.0397      0.0050	   -25.025	   -24.039	   -25.125
      80001    -5.36830    98.00280         -0.00000    -23.7288      0.0050	   -24.726	   -23.728	   -24.813
      80001    -5.31920    98.02040         -0.00000    -23.4338      0.0050	   -24.427	   -23.428	   -24.513
      80001    -5.27010    98.03820         -0.00000    -23.1442      0.0050	   -24.135	   -23.141	   -24.228
      80001    -5.22080    98.05590          0.00000    -22.8652      0.0050	   -23.862	   -22.865	   -23.951
      80001    -5.17130    98.07380         -0.00000    -22.5848      0.0050	   -23.598	   -22.582	   -23.664
      80001    -5.12190    98.09150         -0.00000    -22.3170      0.0050	   -23.330	   -22.307	   -23.400
      80001    -5.07220    98.10950         -0.00000    -22.0470      0.0050	   -23.053	   -22.034	   -23.124
      80001    -5.02300    98.12730         -0.00000    -21.7803      0.0050	   -22.789	   -21.771	   -22.850
      80001    -4.97380    98.14500         -0.00000    -21.5288      0.0050	   -22.539	   -21.521	   -22.603
      80001    -4.92420    98.16280         -0.00000    -21.2842      0.0050	   -22.294	   -21.274	   -22.359
      80001    -4.87510    98.18050         -0.00000    -21.0405      0.0050	   -22.057	   -21.033	   -22.119
      80001    -4.82580    98.19830         -0.00000    -20.8004      0.0050	   -21.826	   -20.795	   -21.877
      80001    -4.77650    98.21600         -0.00000    -20.5792      0.0050	   -21.597	   -20.578	   -21.656
      80001    -4.72760    98.23370         -0.00000    -20.3380      0.0050	   -21.360	   -20.337	   -21.416
      80001    -4.67880    98.25130         -0.00000    -20.0851      0.0050	   -21.112	   -20.080	   -21.162
      80001    -4.62990    98.26880          0.00000    -19.8194      0.0050	   -20.854	   -19.822	   -20.895
      80001    -4.58050    98.28660          0.00000    -19.5472      0.0050	   -20.588	   -19.555	   -20.623
      80001    -4.53140    98.30420          0.00000    -19.2890      0.0050	   -20.341	   -19.289	   -20.365
      80001    -4.48230    98.32180          0.00000    -19.0873      0.0050	   -20.138	   -19.088	   -20.167
      80001    -4.43320    98.33940          0.00000    -18.9464      0.0050	   -19.993	   -18.946	   -20.020
      80001    -4.38440    98.35690         -0.00000    -18.8491      0.0050	   -19.899	   -18.835	   -19.916
      80001    -4.33570    98.37440         -0.00000    -18.8087      0.0050	   -19.851	   -18.788	   -19.876
      80001    -4.28720    98.39200         -0.00000    -18.8027      0.0050	   -19.831	   -18.787	   -19.862
      80001    -4.23940    98.40910         -0.00000    -18.8016      0.0050	   -19.829	   -18.787	   -19.859
      80001    -4.19140    98.42620         -0.00000    -18.8088      0.0050	   -19.836	   -18.796	   -19.871
      80001    -4.14350    98.44340         -0.00000    -18.8221      0.0050	   -19.849	   -18.814	   -19.885
      80001    -4.09560    98.46060         -0.00000    -18.8362      0.0050	   -19.859	   -18.828	   -19.900
      80001    -4.04800    98.47770         -0.00000    -18.8444      0.0050	   -19.866	   -18.840	   -19.908
      80001    -4.00010    98.49490          0.00000    -18.8530      0.0050	   -19.871	   -18.853	   -19.920
      80001    -3.95130    98.51240         -0.00000    -18.8560      0.0050	   -19.872	   -18.855	   -19.921
      80001    -3.90250    98.52980         -0.00000    -18.8516      0.0050	   -19.867	   -18.846	   -19.914
      80001    -3.85370    98.54730          0.00000    -18.8547      0.0050	   -19.864	   -18.855	   -19.911
      80001    -3.80470    98.56490          0.00000    -18.8524      0.0050	   -19.871	   -18.857	   -19.915
      80001    -3.75550    98.58260         -0.00000    -18.8684      0.0050	   -19.893	   -18.864	   -19.928
      80001    -3.70630    98.60010         -0.00000    -18.9137      0.0050	   -19.939	   -18.912	   -19.973
      80001    -3.65680    98.61800          0.00000    -18.9799      0.0050	   -20.013	   -18.981	   -20.037
      80001    -3.60720    98.63580          0.00000    -19.0959      0.0050	   -20.117	   -19.098	   -20.147
      80001    -3.55830    98.65340          0.00000    -19.2277      0.0050	   -20.251	   -19.228	   -20.285
      80001    -3.50910    98.67100          0.00000    -19.4034      0.0050	   -20.414	   -19.405	   -20.460
      80001    -3.45980    98.68860         -0.00000    -19.5849      0.0050	   -20.597	   -19.583	   -20.642
      80001    -3.41060    98.70620         -0.00000    -19.7726      0.0050	   -20.790	   -19.766	   -20.830
